Trial, Type, Accuracy, ARS, Purity0, Purity1, Purity2, Purity3, Purity4, Purity5, Purity6, Purity7, Purity8, Purity9
0, Training, 0.0981, 0.3375273187444164, 0.9254658385093167, 0.288135593220339, 0.25, 0.3826086956521739, 0.831140350877193, 0.6177215189873417, 0.9497206703910615, 0.5593471810089021, 0.5766912257200268, 0.4890154597233523
1, Training, 0.0026333333333333334, 0.35246852793771694, 0.7270045588629659, 0.9595352564102564, 0.5011126564673157, 0.41429613420860684, 0.9481268011527377, 0.5584955393349554, 0.5326710816777042, 0.44731475186947656, 0.5856228829506963, 0.2762130177514793
1, Testing, 0.0024, 0.34642334963404553, 0.7116666666666667, 0.9619047619047619, 0.5104777870913663, 0.39261285909712723, 0.9255583126550868, 0.5633889919604206, 0.5396174863387978, 0.4551440329218107, 0.5805084745762712, 0.2724699221514508
